2
368
384
1174

@EQUIPMENT_ADDON;Lista de Addons
@NPC_TASK_IN_SERVICE;NPC Serviço de Missões
@NPC_TASK_OUT_SERVICE;NPC Serviço de Tarefas
@NPC_TASK_MATTER_SERVICE;NPC Serviço de material de missões
@NPC_SKILL_SERVICE;Serviço de Habilidades (NPC)
@NPC_HEAL_SERVICE;Serviço de Cura (NPC)
@NPC_TRANSMIT_SERVICE;Serviço de Teletransporte (NPC)
@NPC_TRANSPORT_SERVICE;NPC Serviço de Teletransporte
@NPC_PROXY_SERVICE;Serviço de Consignação (NPC)
@NPC_STORAGE_SERVICE;Serviço de Armazenamento
@NPC_MAKE_SERVICE;NPC Serviço de criar
@NPC_DECOMPOSE_SERVICE;Serviço de Desmontar (NPC)
@NPC_TYPE;Tipo de NPC
@NPC_ESSENCE;NPCs
@FACE_TEXTURE_ESSENCE;Textura Facial
@FACE_SHAPE_ESSENCE;Forma Facial
@FACE_EMOTION_TYPE;Tipo de emoção Facial
@FACE_EXPRESSION_ESSENCE;Expressões Facial
@FACE_HAIR_ESSENCE;Cabelo Facial
@FACE_MOUSTACHE_ESSENCE;Bigode Facial
@COLORPICKER_ESSENCE;Cor de Personagem
@CUSTOMIZEDATA_ESSENCE;Modelos de Personagem - Incial
@RECIPE_MAJOR_TYPE;Tipo de Fórmula
@RECIPE_SUB_TYPE;Subtipo de Fórmula
@RECIPE_ESSENCE;Fórmula de Itens
@ENEMY_FACTION_CONFIG;Config. de Clã Inimigos
@CHARRACTER_CLASS_CONFIG;Config. de Classes
@PARAM_ADJUST_CONFIG;Config. de Ajuste Parametros
@PLAYER_ACTION_INFO_CONFIG;Config. de Ajuste Visual de Jogador
@TASKDICE_ESSENCE;Pacote/Baus de Itens
@TASKNORMALMATTER_ESSENCE;Dados de Material da Tarefa
@FACE_FALING_ESSENCE;Dados Facial
@PLAYER_LEVELEXP_CONFIG;EXP de Personagens e Mascotes
@MINE_TYPE;Tipo de Mineral
@MINE_ESSENCE;Mineral
@NPC_IDENTIFY_SERVICE;Identificar Item (NPC)
@FASHION_MAJOR_TYPE;Tipo de Roupas
@FASHION_SUB_TYPE;Subtipo de Roupas
@FASHION_ESSENCE;Roupas
@FACETICKET_MAJOR_TYPE;Tipo de Rolo de Disfarce
@FACETICKET_SUB_TYPE;Subtipo de Rolo de Disfarce
@FACETICKET_ESSENCE;Rolo de Disfarce
@FACEPILL_MAJOR_TYPE;Pílula da Cabeça Grande
@FACEPILL_SUB_TYPE;Sub Pílula da Cabeça Grande
@FACEPILL_ESSENCE;Pílula da Cabeça Grande
@SUITE_ESSENCE;Combo de Equipamentos
@GM_GENERATOR_TYPE;Tipo de Gerador de GM
@GM_GENERATOR_ESSENCE;Gerador do GM
@PET_TYPE;Tipo de Pets ou Montarias
@PET_ESSENCE;Pets e Montarias
@PET_EGG_ESSENCE;Ovos de Pets ou Montarias
@PET_FOOD_ESSENCE;Comida para Pets ou Montarias
@PET_FACETICKET_ESSENCE;Serviço de Pet facial
@FIREWORKS_ESSENCE;Fogos de Artifício
@WAR_TANKCALLIN_ESSENCE;Veiculo de TW - Carroça
@NPC_WAR_TOWERBUILD_SERVICE;Serviço de Torres e Guardas da TW
@PLAYER_SECONDLEVEL_CONFIG;Config. de Perda de Exp por Nível
@NPC_RESETPROP_SERVICE;Serviço de Restauração
@NPC_PETNAME_SERVICE;Renomear Mascote
@NPC_PETLEARNSKILL_SERVICE;Aprender Habilidades da Mascote
@NPC_PETFORGETSKILL_SERVICE;Remover Habilidades de Pets
@SKILLMATTER_ESSENCE;Material de Boticários
@REFINE_TICKET_ESSENCE;Refinos e Pérolas
@DESTROYING_ESSENCE;Destruindo
@NPC_EQUIPBIND_SERVICE;NPC Serviço de Prender Equipamento
@NPC_EQUIPDESTROY_SERVICE;NPC Serviço de destruir Item
@NPC_EQUIPUNDESTROY_SERVICE;Serviço de Cancelar Destruição de Item
@BIBLE_ESSENCE;Livros
@SPEAKER_ESSENCE;Emoticons
@AUTOHP_ESSENCE;Config. de Amuleto
@AUTOMP_ESSENCE;Config. de Hierograma
@DOUBLE_EXP_ESSENCE;Livros de Exp
@TRANSMITSCROLL_ESSENCE;Pedras de Teleporte
@DYE_TICKET_ESSENCE;Tintas de Roupas e Equipamentos
@GOBLIN_ESSENCE;Daimons
@GOBLIN_EQUIP_TYPE;Tipo Equip. de Daimons
@GOBLIN_EQUIP_ESSENCE;Equipamento de Daimons
@GOBLIN_EXPPILL_ESSENCE;Pedras e Livros EXP de Daimons
@SELL_CERTIFICATE_ESSENCE;Lojinhas
@TARGET_ITEM_ESSENCE;Itens de alvos
@LOOK_INFO_ESSENCE;Olhar Informações de Jogadores
@UPGRADE_PRODUCTION_CONFIG;Atualizar Lista de preços
@ACC_STORAGE_BLACKLIST_CONFIG;Lista Negra de Punidos na Conta
@FACE_HAIR_TEXTURE_MAP;Textura de Cabelos Iniciais
@MULTI_EXP_CONFIG;Configurar o Meridiano
@INC_SKILL_ABILITY_ESSENCE;Nível de Forja
@GOD_EVIL_CONVERT_CONFIG;Converter configurações GOD e Evil
@WEDDING_CONFIG;Config. de Casamento e Horário
@WEDDING_BOOKCARD_ESSENCE;Cartão de Casamento
@WEDDING_INVITECARD_ESSENCE;Convites de Casamento
@SHARPENER_ESSENCE;Runas de Equipamentos
@FACE_THIRDEYE_ESSENCE;Terceiro Olho - Guardião
@FACTION_FORTRESS_CONFIG;Config. de Clã e Fortaleza
@FACTION_BUILDING_SUB_TYPE;Sub Configuração de Clã de construção
@FACTION_BUILDING_ESSENCE;Construção de Clã
@FACTION_MATERIAL_ESSENCE;Material de construção
@CONGREGATE_ESSENCE;Contato Imediato
@ENGRAVE_MAJOR_TYPE;Tipo de Gravura
@ENGRAVE_SUB_TYPE;Subtipo de Gravura
@ENGRAVE_ESSENCE;Gravura
@NPC_ENGRAVE_SERVICE;Serviço de Gravura
@NPC_RANDPROP_SERVICE;Serviço Reforja R8/Morai
@RANDPROP_TYPE;Tipo de Serviço R8/Morai
@RANDPROP_ESSENCE;R8/Morai
@WIKI_TABOO_CONFIG;Itens/Missões/Formulas Bloqueadas
@FORCE_CONFIG;Configuração de Ordem
@FORCE_TOKEN_ESSENCE;Config. de Ordens de Morai
@NPC_FORCE_SERVICE;Serviço da Ordem de Morai
@PLAYER_DEATH_DROP_CONFIG;Config. Drop de Itens ao Morrer em PVP
@DYNSKILLEQUIP_ESSENCE;Selo do lacre
@CONSUME_POINTS_CONFIG;Config. de Consumo de Pontos
@ONLINE_AWARDS_CONFIG;Config. de Prêmios Online
@COUNTRY_CONFIG;Config. da Dinastia
@GM_ACTIVITY_CONFIG;Config. de Eventos de GM
@FASHION_WEAPON_CONFIG;Config. de Roupas visual
@PET_EVOLVE_CONFIG;Config. de Devoluir Pets
@PET_EVOLVED_SKILL_CONFIG;Config. de Habilidade de Pets
@MONEY_CONVERTIBLE_ESSENCE;Moeda Convertida
@STONE_CHANGE_RECIPE_TYPE;Tipo de Alterações de Pedras
@STONE_CHANGE_RECIPE;Alterações de Pedras
@MERIDIAN_CONFIG;Configurações de Meridiano
@PET_EVOLVED_SKILL_RAND_CONFIG;Config. de Pets e Habilidades
@AUTOTASK_DISPLAY_CONFIG;Config. de Prêmio do Calendário
@TOUCH_SHOP_CONFIG;Config. da Loja GT - Chinesa
@TITLE_CONFIG;Configurações de Títulos
@COMPLEX_TITLE_CONFIG;Config. de Título Avançado
@MONSTER_SPIRIT_ESSENCE;Tabela de Nuema
@PLAYER_SPIRIT_CONFIG;Config. de Nuemas de Personagem
@PLAYER_REINCARNATION_CONFIG;Config. de Despertar
@HISTORY_STAGE_CONFIG;Configurações de Etapas
@HISTORY_ADVANCE_CONFIG;Config. Avanço de História
@AUTOTEAM_CONFIG;Configuração de Grupo em Jogo
@PLAYER_REALM_CONFIG;Config. de Pontos de Céu - I > X
@CHARIOT_CONFIG;Config. de Guerra de Tanques
@CHARIOT_WAR_CONFIG;Config. de Interservidor
@POKER_LEVELEXP_CONFIG;Configuração de Nivelamento
@POKER_SUITE_ESSENCE;Combo de Cartas
@POKER_DICE_ESSENCE;Pacote de Avatar
@POKER_SUB_TYPE;Tipo de Cartas
@POKER_ESSENCE;Cartas
@TOKEN_SHOP_CONFIG;Config. de Tesouro Secreto
@SHOP_TOKEN_ESSENCE;Tesouro Secreto
@GT_CONFIG;Configuração de GT - Função Chinesa
@RAND_SHOP_CONFIG;Config. de Carta Aleatória
@PROFIT_TIME_CONFIG;Config. de Tempo
@FACTION_PVP_CONFIG;Config. de PVP Tanques
@UNIVERSAL_TOKEN_ESSENCE;Ordem do Imperador
@TASK_LIST_CONFIG;Lista de missões Diárias
@TASK_DICE_BY_WEIGHT_CONFIG;Config. de Missões diárias
@FASHION_SUITE_ESSENCE;Combo de Roupas
@FASHION_BEST_COLOR_CONFIG;Config. de Roupas e Cores
@SIGN_AWARD_CONFIG;Config. de Calendário
@ASTROLABE_ESSENCE;Astrolábio
@ASTROLABE_RANDOM_ADDON_ESSENCE;Esfera Nebulosa
@ASTROLABE_INC_INNER_POINT_VALUE_ESSENCE;Pérola Astral
@ASTROLABE_INC_EXP_ESSENCE;Pérola do Astrolábio
@ITEM_PACKAGE_BY_PROFESSION_ESSENCE;Pacote de Itens Automático
@ASTROLABE_LEVELEXP_CONFIG;Config. EXP de Astrolábio
@ASTROLABE_ADDON_RANDOM_CONFIG;Config. da Estrela de Astrolábio
@ASTROLABE_APPEARANCE_CONFIG;Config. Visual do Astrolábio
@EQUIP_MAKE_HOLE_CONFIG;Config. Pedra de Liberação
@SOLO_TOWER_CHALLENGE_LEVEL_CONFIG;Config. de Torre e Nível
@SOLO_TOWER_CHALLENGE_AWARD_PAGE_CONFIG;Recompensa da Torre
@SOLO_TOWER_CHALLENGE_AWARD_LIST_CONFIG;Lista de Recompensa da Torre
@SOLO_TOWER_CHALLENGE_SCORE_COST_CONFIG;Config. de tempo da Torre
@MNFACTION_WAR_CONFIG;Config. da Guerra de Dragão
@NPC_CROSS_SERVER_SERVICE;NPC Serviço de Servidor Cross
@FIREWORKS2_ESSENCE;Fogo de Artifício 2
@FIX_POSITION_TRANSMIT_ESSENCE;Ordem do Céu
@HOME_CONFIG;Config. de Moradia
@HOME_PRODUCTS_CONFIG;Moradia Products Conf.
@HOME_RESOURCE_PRODUCE_CONFIG;Moradia Resource Produce Conf.
@HOME_FORMULAS_PRODUCE_RECIPE;Moradia Formulas Produce Recipe
@HOME_FORMULAS_ITEM_ESSENCE;Moradia Formulas Item
@HOME_PRODUCE_SERVICE_CONFIG;Config. de Produção da Moradia
@HOME_FACTORY_CONFIG;Moradia Factory Conf.
@HOME_ITEM_MAJOR_TYPE;Tipo de Item Moradia
@HOME_ITEM_SUB_TYPE;Subtipo de Item Moradia
@HOME_ITEM_ENTITY;Moradia Item Entity
@HOME_FORMULAS_PRODUCE_MAJOR_TYPE;Tipo de Produção de Fórmulas de Moradia
@HOME_FORMULAS_PRODUCE_SUB_TYPE;Subtipo de Produção de Fórmulas de Moradia
@HOME_FORMULAS_ITEM_MAJOR_TYPE;Tipo de Item de Fórmulas de Moradia
@HOME_FORMULAS_ITEM_SUB_TYPE;Subtipo de Item de Fórmulas de Moradia
@HOME_STORAGE_TASK_CONFIG;Moradia Storage Task Conf.
@WISH_TRIBUTE_ESSENCE;Desejo Homenagem
@RED_PACKET_PAPER_ESSENCE;Pacote Vermelho
@LOTTORY_TICKET_STORAGE_CONFIG;Config. Sistema de Chaves
@LOTTORY_TICKET_COST_CONFIG;Custo do Sistema de Chaves
@LOTTORY_TICKET_OTHER_AWARD_CONFIG;Prêmio Extra do Sistema de Chaves
@HOME_TEXTURE_ENTITY;Textura de Moradia Individual
@HOME_GRASS_ENTITY;Grama de Mordia Individual
@HOME_UNLOCK_PAPER_ESSENCE;Home Unlock Paper
@GUARDIAN_BEAST_EGG_ESSENCE;Ovo de Fera Elisiana
@GUARDIAN_BEAST_ENTITY;Entidade de Fera Elisiana
@GUARDIAN_BEAST_RACE_CONFIG;Guardian Beast Race Config
@GUARDIAN_BEAST_UPGRADE_CONFIG;Config. de Fera Elisiana
@GUARDIAN_BEAST_REWARD_CONFIG;Config. de Fera - Recompensa
@HOME_SKIN_ENTITY;Bioma de Moradia
@WORLD_SPEAK_COST_CONFIG;Config. de Custo de Global - Flood
@EASY_PRODUCE_ITEM_ESSENCE;Easy Produce Item
@ARENA_CONFIG;Config. de Arena
@ARENA_SCENE_CONFIG;Config. de Cenário da Arena
@ARENA_POINT_CONFIG;Config. Pontos de Arena
@ARENA_ENTITY_CONFIG;Config. de Arena Entidade
@NPC_ARENA_SELL_SERVICE;Vendas no NPC da Arena
@UNLOCK_RUNE_SLOT_ITEM_ESSENCE;Pedra Rúnica
@RUNE_ITEM_ESSENCE;Runas de Habilidade
@RUNE_SKILL_CONFIG;Config. de Runa de Habilidade
@RUNE_UPGRADE_CONFIG;Config. de Evolução de Runa
@ARENA_MAP_CONFIG;Config. Mapa da Arena
@NPC_STATUE_CREATE_SERVICE;NPC Statue Create Service
@ARENA_FORBID_ITEM_CONFIG;Arena Forbid Item Config
@ARENA_FORBID_SKILL_CONFIG;Arena Forbid Skill Config
@CARRIER_CONFIG;Carrier Config
@CHANGE_PROPERTY_CONFIG;Change Property Config
@PROFESSION_PROPERTY_CONFIG;Profession Property Config
@FIX_MONSTER_ITEM_ESSENCE;Fix Monster Item
@NPC_LIB_PRODUCE_SERVICE;Serviço de Transmutação - Lista
@LIB_PRODUCE_RECIPE;Formula de Transmutação
@VOTE_CONFIG;Vote Config
@SIMULATOR_ITEM_LIST_CONFIG;Simulator Item List Config
@EQUIPMENT_PRODUCE_METHOD_CONFIG;Equipment Produce Method Config
@PRODUCTION_LINE_CONFIG;Production Line Config
@SOURCE_OF_MATERIAL_CONFIG;Source Of Material Config
@FACTION_TALENT_SINGLE_CONFIG;Clã Talent Single Config
@FACTION_TALENT_TREE_CONFIG;Clã Talent Tree Config
@FACTION_TARGET_CONFIG;Clã Target Config
@INSTANCE_STAGE_CONFIG;Instance Stage Config
@FACTION_PET_FEED_CONFIG;Clã Pet Feed Config
@FACTION_TILLAGE_CONFIG;Clã Tillage Config
@FACTION_PET_CONFIG;Clã Pet Config
@FACTION_PET_BLESS_CONFIG;Clã Pet Bless Config
@ITEM_USED_FOR_AREA_ESSENCE;Item Used For Area
@CAPTURE_ITEM_ESSENCE;Capture Item
@DRIFT_BOTTLE_DROP_CONFIG;Drift Bottle Drop Config
@NPC_FACTION_SELL_SERVICE;NPC Clã Sell Service
@FACTION_INSTANCE_DROP_CONFIG;Clã Instance Drop Config
@NPC_PARK_ENTER_SERVICE;NPC Park Enter Service
@FACTION_STORAGE_WHITELIST_CONFIG;Clã Storage Whitelist Config
@NPC_BOSSRUSH_AWARD_SERVICE;NPC Bossrush Award Service
@PROFESSION_STATE_CONFIG;Profession State Config
@MENTAL_PARAM_ADJUST_CONFIG;Mental Param Adjust Config
@BIBLE_REFINE_CONFIG;Config. de Refino do Livro
@BIBLE_REFINE_TICKET_ESSENCE;Item de Refino do Livro
@TITLE_PROGRESS_CONFIG;Config. de Progresso de Título
@NPC_MYSTERIOUS_SHOP_SERVICE;Loja Misteriosa
@OFFLINEBATTLE_CONFIG;Offlinebattle Config
@NPC_PRIDICTABLE_ENGRAVE_SERVICE;Gravura Avançada
@NEW_ARMOR_MAJOR_TYPE;Tipo de Armadura G17
@NEW_ARMOR_SUB_TYPE;Subtipo de Armadura G17
@NEW_ARMOR_ESSENCE;Armadura G17
@QIHUN_ESSENCE;Espírito G17
@QILING_ESSENCE;Cristal do Luar
@STORY_BOOK_MAJOR_TYPE;Tipo de Anedota
@STORY_BOOK_CONFIG;Config. de Anedota
@MENTOR_LEVEL_CONFIG;Mentor Level Config
@STUDENT_AWARD_CONFIG;Student Award Config
@QIHUN_COVER_ESSENCE;Pacote Espírito G17
@GROWTH_TARGET_CONFIG;Growth Target Config
@QUESTION_TIP_CONFIG;Question Tip Config
@QUESTION_AWARD_CONFIG;Question Award Config
@SLIDE_SKILL_ESSENCE;Slide Skill
@CONSUME_MONEY_CONFIG;Consumo de Gold/Moedas dos Espírito
@USE_FOR_SELF_ITEM_ESSENCE;Use For Self Item
@HIGH_POLY_FACE_TEXTURE_ESSENCE;High Poly Face Texture
@HIGH_POLY_FACE_TEMPL_CONFIG;High Poly Face Templ Config
@NEW_LOTTERY_CONFIG;Config. da Paleta da Fortuna
@CURRENCY_ITEM_WHITELIST_CONFIG;Config. Moeda de Ouro
@HIGH_POLY_CUSTOMIZEDATA_ESSENCE;High Poly Customizedata
@HIGH_POLY_RACE_FEATURE;High Poly Race Feature
@BLACK_WHITE_LIST_MAJOR_TYPE;Black White List Type
@BLACK_WHITE_LIST_CONFIG;Black White List Config
@LOANS_PRODUCE_MAJOR_TYPE;Tipo Parcelamento G17
@LOANS_PRODUCE_SUB_TYPE;Subtipo Parcelamento G17
@LOANS_PRODUCE_RECIPE;Parcelamento G17 Formula
@RED_BOOK_CONFIG;Config. de Memória Celestial
@RED_BOOK_UPGRADE_ITEM;Memória Celestial Item
@RED_BOOK_LOTTERY_CONFIG;Memória Celestial Pergaminho Config.
@ARENA_TICKET_CONFIG;Config de Arena
@CAMP_LEVEL_CONFIG;Camp Level Config
@CAMP_TOKEN_CONFIG;Camp Token Config
@CAMP_TOKEN_TREE_CONFIG;Camp Token Tree Config
@CAMP_TOKEN_ESSENCE;Camp Token
@CAMP_TOKEN_UPGRADE_ESSENCE;Camp Token Upgrade
@CAMP_TOKEN_ROLLBACK_ESSENCE;Camp Token Rollback
@CAMP_TOKEN_PROB_ADJUST_ESSENCE;Camp Token Prob Adjust
@CAMP_BATTLE_TECH_TREE_CONFIG;Camp Battle Tech Tree Config
@SPECIAL_ACTIVITY_RESPAWN_CONFIG;Special Activity Respawn Config
@MAP_EVENT_CONFIG;Map Event Config
@SPECIAL_CAMP_REGION_MAJOR_TYPE;Special Camp Region Type
@SPECIAL_CAMP_REGION_CONFIG;Special Camp Region Config
@PET_SKIN_CONFIG;Pet Skin Config
@PET_MULTIRIDE_CONFIG;Pet Multiride Config
@FASHION_NEW_MAJOR_TYPE;Fashion New Type
@FASHION_NEW_SUB_TYPE;Fashion New Sub Type
@FASHION_NEW_ESSENCE;Fashion New
@WAR_AREA_CONFIG;War Area Config
@ILLUSTRATED_FASHION_SERIES_CONFIG;Illustrated Fashion Series Config
@ILLUSTRATED_FASHION_ESSENCE;Illustrated Fashion
@ILLUSTRATED_WING_EGG_ESSENCE;Illustrated Wing Egg
@ILLUSTRATED_WING_SERIES_CONFIG;Illustrated Wing Series Config
@ILLUSTRATED_PET_EGG_ESSENCE;Illustrated Pet Egg
@ILLUSTRATED_PET_SERIES_CONFIG;Illustrated Pet Series Config
@ACROSS_SERVER_MATCH_CONFIG;Across Server Match Config
@NPC_ASAL_CONFIG;NPC Asal Config
@WILDERNESS_SURVIVAL_CONFIG;Wilderness Survival Config
@ILLUSTRATED_REWARD_CONFIG;Illustrated Reward Config
@FAST_PRODUCE_ITEM_TYPE;Fast Produce Item Type
@FAST_PRODUCE_ITEM_ESSENCE;Fast Produce Item
@KID_SYSTEM_CONFIG;Kid System Config
@COURSE_ESSENCE;Course
@COURSE_SUITE_ESSENCE;Course Suite
@KID_PROPERTY_CONFIG;Kid Property Config
@KID_QUALITY_CONFIG;Kid Quality Config
@KID_EXP_CONFIG;Kid Exp Config
@KID_UPGRADE_STAR_CONFIG;Kid Upgrade Star Config
@KID_LEVEL_REWARD_CONFIG;Kid Level Reward Config
@KID_LEVEL_MAX_CONFIG;Kid Level Max Config
@KID_DEBRIS_ESSENCE;Kid Debris
@KID_SKILL_CONFIG;Kid Skill Config
@KID_DEBRIS_GENERATOR_ESSENCE;Kid Debris Generator
@KID_PROFESSION_CONFIG;Kid Profession Config
@BIS_SOI_USE_LIMIT_CONFIG;Bis Soi Use Limit Config
@REWARD_INTERFACE_CONFIG;Reward Interface Config
@HISTORY_VARIABLE_PROGRESS_CONFIG;History Variable Progress Config
@ANNIVERSARY_EVENT_INTERFACE_CONFIG;Anniversary Event Interface Config
@NEW_HAND_EVENT_EXPUP;New Hand Event Expup
@NEW_HAND_EVENT_CHALLENGE;New Hand Event Challenge
@NEW_HAND_EVENT_CONSUMPTION;New Hand Event Consumption
@NEW_HAND_EVENT_SHOP;New Hand Event Shop
@REWARD_SHOW_CONFIG;Reward Show Config
@EXTR_PROP_SKILL_CONFIG;Extr Prop Skill Config
@MATERIAL_REFINE_ESSENCE;Material Refine
@MATERIAL_REFINE_TICKET_ESSENCE;Material Refine Ticket
@REMOVE_TASK_RESULT_CONFIG;Remove Task Result Config
@LDBATTLE_TRANSFER_POINT_CONFIG;Ldbattle Transfer Point Config
@HUAZHAO_ACTIVITY_CONFIG;Huazhao Activity Config
@HERO_BOOK_CONFIG;Hero Book Config
@CROSS_SERVICE_ROOM_CONFIG;Cross Service Room Config
@FLYING_CHESS_CONFIG;Flying Chess Config

#ALL
ID;ID
Name;Nome
num_params;Quantidade de valores
file_hitgfx;GFX impacto
file_hitsfx;SFX (som) impacto
probability_fastest;A chance de o mais rápido
probability_fast;A chance de velocidade
probability_normal;A chance de normas
probability_slow;A chance de desaceleração
probability_slowest;A chance de uma desaceleração máxima
attack_speed;Intervalo de ataque
attack_short_range;A distância de fragilidade
action_type;Tipo de ação
id_major_type;Tipo
id_sub_type;Subtipo
require_projectile;Tipo de munição
file_model_right;Modelo da direita (*.ecm)
file_model_left;Modelo da esquerda (*.ecm)
file_matter;Modelo (*.ecm)
file_icon;Ícone
require_strength;Força Necessária
require_agility;Destreza Necessária
require_energy;Inteligência Necessária
require_tili;Constituição Necessária:
character_combo_id;Classe Necessária
require_level;Nível necessário
require_reputation;Reputação (Fama)
level;Nível
fixed_props;Cor addons fixos
probability_hide;A chance de oculto. bônus
damage_low;Ataque físico (min)
damage_high_min;Max. Ataque Físico (min)
damage_high_max;Max. Ataque Físico (max)
magic_damage_low;Ataque mágico (Min)
magic_damage_high_min;Max. Ataque Mágico (min)
magic_damage_high_max;Max. Ataque Mágico (max)
attack_range;Alcance
short_range_mode;Tipo de Ataque da Arma
durability_min;Força (min)
durability_max;Força (máximo)
levelup_addon;Bônus de refino
material_need;Pedra Imortal
price;Preço do Item
shop_price;Preço de Compra
repairfee;Custo reparo
probability_unique;Uma chance única de bônus
durability_drop_min;Durabilidade (min)
durability_drop_max;Durabilidade (max)
decompose_price;Custo decomposição
decompose_time;Tempo decomposição
element_id;Decompõe em
element_num;Quantidade
id_drop_after_damaged;Quebra em
num_drop_after_damaged;Quantidade
pile_num_max;Stack
has_guid;Has Guid:
proc_type;Proctype
equip_mask;Máscara
realname;Modelo (pasta)
equip_location;Posição
defence_low;Defesa (min)
defence_high;Defesa (max)
mp_enhance_low;Melhoria MP (min)
mp_enhance_high;Melhoria MP (max)
hp_enhance_low;Melhoria HP (min)
hp_enhance_high;Melhoria HP (max)
armor_enhance_low;Melhoria armadura (min)
armor_enhance_high;Melhoria armadura (max)
id_hair;ID Cabelo
id_hair_texture;Textura Cabelo
force_all_magic_defences;Forçar todas as defesas mágicas
file_model;Modelo
damage_high;Ataque físico (max)
magic_damage_high;Ataque mágico (máximo)
cool_time;Tempo (ms)
hp_add_total;Recuperação de HP
hp_add_time;Tempo de recuperação HP
mp_add_total;Recuperação de MP
mp_add_time;Tempo de recuperação MP
damage_type;Dano
require_weapon_level_min;Nível necessário arma (min)
require_weapon_level_max;Nível necessário arma (max)
damage_increased;Dano aumentado
file_gfx;GFX
file_sfx;SFX
require_player_level_min;Nível necessário
require_player_level_max;Nível máximo
damage_reduce_percent;Dano absorvido (%)
damage_reduce_time;Tempo de redução
speed_increase_min;Voo simples (m/s)
speed_increase_max;Voo simples (m/s)
speed_rush_increase_min;Voo acelerado (m/seg.)
speed_rush_increase_max;Voo acelerado (m/seg.)
time_max_min;Tempo ativo (min)
time_max_max;Tempo ativo (max)
time_increase_per_element;O aumento de energia no elemento
fly_mode;Modo de voo
max_improve_level;Nível máximo de melhoria
speed_increase;Velocidade
mp_launch;Mínima maná para исп.
mp_per_second;O consumo de mana
use_time;Tempo de utilização
file_firegfx;GFX disparo
type;Tipo
damage_enhance;Nat ataque +
damage_scale_enhance;Mais ao ataque por nível
id_projectile;ID Projétil
num_min;Quantidade mínima
num_max;Quantidade máxima
color;Cor
install_price;Preço adicionar
uninstall_price;Preço remoção
id_addon_damage;Bônus arma
id_addon_defence;Bônus armadura
weapon_desc;Descrição arma
armor_desc;Descrição armadura
combined_switch;Ações combinadas
id_addon_decoration;Bônus do enfeite
decoration_desc;Descrição do enfeite
id_type;Tipo
prop;Propriedades elementais
edesc;?Descrição do elemento
desc;Descrição
faction;Facção
monster_faction;Facção
file_gfx_short;GFX 1
file_gfx_short_hit;GFX 2
size;Tamanho
damage_delay;Delay ataque
id_strategy;Tipo de ataque
role_in_war;Papel na batalha
show_level;Nível do monstro
id_pet_egg_captured;Ovo
life;HP
defence;Defesa física
immune_type;Tipo de Imunidade
exp;Experiência
skillpoint;Alma
money_average;Moeda
money_var;Moedas
sight_range;Campo de visão
attack;Acerto
armor;Esquiva
damage_min;Ataque mínimo
damage_max;Ataque máximo
magic_damage_min;Ataque mágico (min)
magic_damage_max;Ataque mágico (máximo)
id_skill;Skill ID
skill_level;Nível habilidade
hp_regenerate;Recuperação de HP
aggressive_mode;Agressão
monster_faction_ask_help;Pede ajuda (máscara)
