#WEAPON_ESSENCE
id_major_type;Type
uniques_8_id_unique;Uniques 8 ID Unique
uniques_8_probability_unique;Uniques 8 Probability Unique
uniques_9_id_unique;Uniques 9 ID Unique
uniques_9_probability_unique;Uniques 9 Probability Unique
uniques_10_id_unique;Uniques 10 ID Unique
uniques_10_probability_unique;Uniques 10 Probability Unique
uniques_11_id_unique;Uniques 11 ID Unique
uniques_11_probability_unique;Uniques 11 Probability Unique
uniques_12_id_unique;Uniques 12 ID Unique
uniques_12_probability_unique;Uniques 12 Probability Unique
uniques_13_id_unique;Uniques 13 ID Unique
uniques_13_probability_unique;Uniques 13 Probability Unique
uniques_14_id_unique;Uniques 14 ID Unique
uniques_14_probability_unique;Uniques 14 Probability Unique
uniques_15_id_unique;Uniques 15 ID Unique
uniques_15_probability_unique;Uniques 15 Probability Unique
uniques_16_id_unique;Uniques 16 ID Unique
uniques_16_probability_unique;Uniques 16 Probability Unique
hides_1_id_hide;Hides 1 ID Hide
hides_1_probability_hide;Hides 1 Probability Hide
hides_2_id_hide;Hides 2 ID Hide
hides_2_probability_hide;Hides 2 Probability Hide
hides_3_id_hide;Hides 3 ID Hide
hides_3_probability_hide;Hides 3 Probability Hide
hides_4_id_hide;Hides 4 ID Hide
hides_4_probability_hide;Hides 4 Probability Hide
hides_5_id_hide;Hides 5 ID Hide
hides_5_probability_hide;Hides 5 Probability Hide
hides_6_id_hide;Hides 6 ID Hide
hides_6_probability_hide;Hides 6 Probability Hide
hides_7_id_hide;Hides 7 ID Hide
hides_7_probability_hide;Hides 7 Probability Hide
hides_8_id_hide;Hides 8 ID Hide
hides_8_probability_hide;Hides 8 Probability Hide
hides_9_id_hide;Hides 9 ID Hide
hides_9_probability_hide;Hides 9 Probability Hide
hides_10_id_hide;Hides 10 ID Hide
hides_10_probability_hide;Hides 10 Probability Hide
hides_11_id_hide;Hides 11 ID Hide
hides_11_probability_hide;Hides 11 Probability Hide
hides_12_id_hide;Hides 12 ID Hide
hides_12_probability_hide;Hides 12 Probability Hide
hides_13_id_hide;Hides 13 ID Hide
hides_13_probability_hide;Hides 13 Probability Hide
hides_14_id_hide;Hides 14 ID Hide
hides_14_probability_hide;Hides 14 Probability Hide
hides_15_id_hide;Hides 15 ID Hide
hides_15_probability_hide;Hides 15 Probability Hide
hides_16_id_hide;Hides 16 ID Hide
hides_16_probability_hide;Hides 16 Probability Hide
durability_drop_min;Durability Drop (min)
durability_drop_max;Durability Drop (max)
decompose_price;Decompose Price
decompose_time;Decompose Time
element_id;Element ID
element_num;Element Num
id_drop_after_damaged;ID Drop After Damaged
num_drop_after_damaged;Num Drop After Damaged
pile_num_max;Stack Amount [pile_num_max]
has_guid;Has Guid
proc_type;Protection [proc_type]
